,AGE,DAYS OF EX,conc (ng/ul),E260/280,E260/230,sec conc (ng/ul),sec E260/280,sec E260/230,ENV COND_B,ENV COND_NE,ENV COND_OV,ENV COND_S
AGE,1.0,-0.15251519842766173,-0.03879104525230928,0.07752547415704572,0.06143408369338961,-0.01767035202916058,0.0307745992770098,0.029374446490504014,0.13239158277583532,0.02068618480872427,-0.27636588389887534,0.08654093467070893
DAYS OF EX,-0.15251519842766173,1.0,0.026294322545441232,0.04774062968885229,-0.02157510349639343,-0.07084497434267302,-0.1286957612179466,0.05643866937579843,-0.4322204903239635,-0.2171542560081749,0.2906790686515452,0.3629988758356719
conc (ng/ul),-0.03879104525230928,0.026294322545441232,1.0,0.49739504334905443,0.7244970202030838,0.21185395576864693,0.06084070858436243,0.3590999519663932,0.0707059380438047,-0.28490333858827194,0.47861675837294915,-0.19719950042856504
E260/280,0.07752547415704572,0.04774062968885229,0.49739504334905443,1.0,0.5867696404996026,0.02426587105779572,0.008364409494675018,0.2553173556552819,0.08614662138346361,-0.05462956477975742,0.10850988243885709,-0.1191551711968676
E260/230,0.06143408369338961,-0.02157510349639343,0.7244970202030838,0.5867696404996026,1.0,0.1856466034755945,0.21772268961372693,0.3579067372092164,0.23746309104035596,-0.27739051342767246,0.2359254227036261,-0.15824549653518943
sec conc (ng/ul),-0.01767035202916058,-0.07084497434267302,0.21185395576864693,0.02426587105779572,0.1856466034755945,1.0,0.33859542375770696,0.6263500578556324,0.2547099788911159,-0.1698066525940773,-0.06974597853111171,-0.02117689098225863
sec E260/280,0.0307745992770098,-0.1286957612179466,0.06084070858436243,0.008364409494675018,0.21772268961372693,0.33859542375770696,1.0,0.24553815602898474,0.06863614769840994,-0.1559912447691135,0.0,0.08121138515768046
sec E260/230,0.029374446490504014,0.05643866937579843,0.3590999519663932,0.2553173556552819,0.3579067372092164,0.6263500578556324,0.24553815602898474,1.0,0.13703286821278973,-0.07682145642232151,-0.016316834970692445,-0.04246510092282016
ENV COND_B,0.13239158277583532,-0.4322204903239635,0.0707059380438047,0.08614662138346361,0.23746309104035596,0.2547099788911159,0.06863614769840994,0.13703286821278973,1.0,-0.3333333333333333,-0.2721655269759087,-0.3944053188733077
ENV COND_NE,0.02068618480872427,-0.2171542560081749,-0.28490333858827194,-0.05462956477975742,-0.27739051342767246,-0.1698066525940773,-0.1559912447691135,-0.07682145642232151,-0.3333333333333333,1.0,-0.2721655269759087,-0.3944053188733077
ENV COND_OV,-0.27636588389887534,0.2906790686515452,0.47861675837294915,0.10850988243885709,0.2359254227036261,-0.06974597853111171,0.0,-0.016316834970692445,-0.2721655269759087,-0.2721655269759087,1.0,-0.3220305943597653
ENV COND_S,0.08654093467070893,0.3629988758356719,-0.19719950042856504,-0.1191551711968676,-0.15824549653518943,-0.02117689098225863,0.08121138515768046,-0.04246510092282016,-0.3944053188733077,-0.3944053188733077,-0.3220305943597653,1.0
